date,day,tithi,time,nakshatra,additional_info,paksha,temple_festivals,temple_monthly_poojas,balavihar_events,festivals
1/1/2025,Wednesday,Dvitiiya,14:54:20,U.shada,12:15:59,Shukla ,,6:00 p - Vishnu Sahasranama Puja,,
1/2/2025,Thursday,Tritiiya,13:38:38,Shravana,11:40:27,Shukla ,,,,
1/3/2025,Friday,Chaturthi,12:09:48,Dhanishta,10:51:41,Shukla ,,6:30 p - Maha Lakshmi Abhishekam,,
1/4/2025,Saturday,Panchami,10:31:20,Shatabhisha,9:53:19,Shukla ,,,,
1/5/2025,Sunday,Shashthi,8:45:35,P.Bhadrapada,8:47:43,Shukla ,,,No BalaVihar & Vedanta Classes,
1/6/2025,Monday,Ashtami,28:57:02+,U.Bhadrapada,7:36:16,Shukla ,,,,
1/7/2025,Tuesday,Navami,26:56:05+,Ashvini,28:59:26+,Shukla ,,,,
1/8/2025,Wednesday,Dashami,24:52:45+,Bharani,27:36:54+,Shukla ,,,,
1/9/2025,Thursday,Ekadashi,22:49:53,Krittika,26:15:17+,Shukla , Vaikunta Ekadashi - 10:00 a - ChimayaShripati Abhishekam,,,
1/10/2025,Friday,Dvadashi,20:51:45,Rohini,24:59:08+,Shukla ,,,,
1/11/2025,Saturday,Trayodashi,19:03:57,Mrigashirsha,23:54:21,Shukla ,,,,
1/12/2025,Sunday,Chaturdashi,17:33:10,Aardra,23:07:47,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
1/13/2025,Monday,Purnima,16:26:38,Punarvasu,22:46:42,Shukla ,,6:30 p - SatyaNarayana Puja,,
1/14/2025,Tuesday,Prathama,15:51:25,Pushya,22:57:50,Krishna ,Makara Sankranti ,,,
1/15/2025,Wednesday,Dvitiiya,15:53:27,Aslesha,23:46:23,Krishna ,,,,
1/16/2025,Thursday,Tritiiya,16:36:24,Magha,25:14:43+,Krishna ,,6:30 p - Sankatahara Ganapati Puja,,
1/17/2025,Friday,Chaturthi,18:00:24,P.Phalguni,27:21:19+,Krishna ,,,,
1/18/2025,Saturday,Panchami,20:01:00,U.Phalguni,29:59:59+,Krishna ,,,,
1/19/2025,Sunday,Shashthi,22:28:46,Hasta, full night,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
1/20/2025,Monday,Saptami,25:09:57+,Hasta,8:59:49,Krishna ,,,,
1/21/2025,Tuesday,Ashtami,27:48:18+,Chitra,12:06:24,Krishna ,,,,
1/22/2025,Wednesday,Navami,30:07:48+,Svaati,15:03:58,Krishna ,,,,
1/23/2025,Thursday,Dashami,full,Vishaakha,17:37:59,Krishna ,,,,
1/24/2025,Friday,Dashami,7:55:18,Anuraadha,19:37:24,Krishna ,,,,
1/25/2025,Saturday,Ekadashi,9:02:12,Jyeshtha,20:55:55,Krishna ,,,,
1/26/2025,Sunday,Dvadashi,9:25:03,Mula,21:32:02,Krishna ,,6:30 p - Pradosha Shiva Abhishekam,10:00 a - BalaVihar & Vedanta Classes,
1/27/2025,Monday,Trayodashi,9:04:56,P.shadha,21:28:20,Krishna ,,,,
1/28/2025,Tuesday,Chaturdashi,8:06:17,U.shada,20:50:19,Krishna ,,,,
1/29/2025,Wednesday,Prathama,28:40:50+,Shravana,19:45:08,Shukla ,,,,
1/30/2025,Thursday,Dvitiiya,26:29:22+,Dhanishta,18:20:34,Shukla ,,,,
1/31/2025,Friday,Tritiiya,24:08:33+,Shatabhisha,16:44:12,Shukla ,,,,
2/1/2025,Saturday,Chaturthi,21:44:42,P.Bhadrapada,15:02:50,Shukla ,,,,
2/2/2025,Sunday,Panchami,19:23:00,U.Bhadrapada,13:22:08,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,Vasantha Panchami
